,ts_code,ann_date,f_ann_date,comp_type,net_profit,finan_exp,free_cashflow,im_net_cashflow_oper_act
2231,002274.SZ,20190420,20190420,1,143131901.61,69195101.9,544224104.0477,25985407.87
2232,601901.SH,20190430,20190430,4,,,,
2233,601901.SH,20190330,20190330,4,680328744.88,,,-6389566460.98
2234,002797.SZ,20190425,20190425,4,,,,
2235,002797.SZ,20190425,20190425,4,,,,
2236,002797.SZ,20190330,20190330,4,131613628.07,,,-832723459.99
2237,600909.SH,20190430,20190430,4,,,,
2238,600909.SH,20190326,20190326,4,577849527.06,345784928.42,,613934962.39
2239,601878.SH,20190427,20190427,4,,,,
2240,601878.SH,20190318,20190318,4,736957357.88,710997609.22,1032933109.2101,-1827851564.32
2241,002673.SZ,20190426,20190426,4,,,,
2242,002673.SZ,20190426,20190426,4,201804480.41,,,3171754441.45
2243,002926.SZ,20190426,20190426,4,,,,
2244,002926.SZ,20190426,20190426,4,845106218.25,,,-3012511307.46
2245,601375.SH,20190419,20190419,4,,,,
2246,601375.SH,20190419,20190419,4,,,,
2247,601375.SH,20190329,20190329,4,95857500.98,,,1591520728.76
2248,601375.SH,20190329,20190329,4,95857500.98,,-1885079947.3979,1591520728.76
2249,601198.SH,20190427,20190427,4,,,,
2250,601198.SH,20190427,20190427,4,1008384426.96,,,-959262374.86
2251,601288.SH,20190427,20190427,2,,,,
2252,601288.SH,20190330,20190330,2,202631000000.0,,371359626914.183,105927000000.0
2253,601838.SH,20190425,20190425,2,,,,
2254,601838.SH,20190425,20190425,2,4653526000.0,,,-11900081000.0
2255,601997.SH,20190430,20190430,2,,,,
2256,601997.SH,20190416,20190416,2,5228677000.0,,,-37975484000.0
2257,601229.SH,20190427,20190427,2,,,,
2258,601229.SH,20190420,20190420,2,18067835000.0,,,-21732994000.0
2259,002256.SZ,20190429,20190429,1,,,,
2260,002256.SZ,20190426,20190426,1,-217843020.05,139285398.25,310576108.61,186380475.0
2261,002255.SZ,20190424,20190424,1,,,-464527341.95,
2262,002255.SZ,20190423,20190423,1,-147968923.68,36145414.19,-966385934.8,227618394.41
2263,002262.SZ,20190420,20190420,1,,,-145020006.38,
2264,002262.SZ,20190228,20190228,1,519161533.71,14026858.85,134502541.3769,404524742.72
2265,002259.SZ,20190430,20190430,1,,,-117270600.15,
2266,002259.SZ,20190430,20190430,1,-190956038.34,118447648.78,-1117327447.48,-41765657.24
2267,002260.SZ,20190427,20190427,1,,,,
2268,002260.SZ,20190427,20190427,1,-172519053.44,48062056.91,126926088.04,54957470.85
2269,600571.SH,20190430,20190430,1,,,-31029258.48,
2270,600571.SH,20190413,20190413,1,-4598683.67,4858042.93,-5032838.1968,65641206.85
2271,600552.SH,20190430,20190430,1,,,-78086909.7668,
2272,600552.SH,20190315,20190315,1,57308299.17,92245088.24,105221500.6666,11071856.01
2273,600549.SH,20190420,20190420,1,,,763979447.49,
2274,600549.SH,20190413,20190413,1,801727695.42,390229981.33,-734311660.158,371414049.24
2275,600353.SH,20190430,20190430,1,,,-57417162.9381,
2276,600353.SH,20190329,20190329,1,61519019.34,2375730.27,-5796713.3935,37390454.06
2277,600511.SH,20190424,20190424,1,,,-1666678204.51,
2278,600511.SH,20190322,20190322,1,1592656377.09,175320192.51,521723030.0541,981654068.22
2279,600525.SH,20190430,20190430,1,,,102739018.41,
2280,600525.SH,20190427,20190427,1,-13981266.95,505191612.83,,680751991.41
2281,600525.SH,20190427,20190427,1,-13981266.95,505191612.83,-358400888.1219,680751991.41
2282,600563.SH,20190427,20190427,1,,,6357212.16,
2283,600563.SH,20190404,20190404,1,460071139.2,-2202619.64,-195524285.19,579177124.37
2284,600458.SH,20190430,20190430,1,,,,
2285,600458.SH,20190430,20190430,1,,,-831988011.7905,
2286,600458.SH,20190329,20190329,1,-434590976.61,89420768.33,432533693.01,375428082.37
2287,600512.SH,20190427,20190427,1,,,-1525422829.22,
2288,600512.SH,20190427,20190427,1,-134772416.31,180960456.13,,154949567.02
2289,600512.SH,20190427,20190427,1,-134772416.31,180960456.13,1346557766.8,154949567.02
2290,600030.SH,20190430,20190430,4,,,,
2291,600030.SH,20190322,20190322,1,,,,57653504626.47
2292,600030.SH,20190322,20190322,4,9876427917.39,,-33841560624.5969,57653504626.47
2293,600012.SH,20190427,20190427,1,,,,
2294,600012.SH,20190427,20190427,1,,,-594889960.45,
2295,600012.SH,20190325,20190325,1,1096642037.84,49418101.58,1152934645.7933,1807617059.7
2296,600538.SH,20190430,20190430,1,,,167438023.9276,
2297,600538.SH,20190423,20190423,1,-21611113.91,,-55137117.36,-33751596.02
2298,600537.SH,20190430,20190430,1,,,,
2299,600537.SH,20190430,20190430,1,,,-649272633.1,
2300,600537.SH,20190423,20190423,1,68601414.51,23102455.95,-150852530.8959,431096874.07
2301,600562.SH,20190430,20190430,1,,,-112449576.1159,
2302,600562.SH,20190410,20190410,1,37803794.28,2209793.65,157669000.5336,138642077.6
2303,600408.SH,20190427,20190427,1,,,,
2304,600408.SH,20190427,20190427,1,,,-87573118.64,
2305,600408.SH,20190322,20190322,1,899167227.4,197171718.98,1759701128.257,552571901.99
2306,600576.SH,20190427,20190427,1,,,,
2307,600576.SH,20190427,20190427,1,,,-201571648.59,
2308,600576.SH,20190413,20190413,1,12728521.46,244463.54,-235580276.3249,-216423482.61
2309,600573.SH,20190427,20190427,1,,,,
2310,600573.SH,20190425,20190425,1,18173200.43,,72982128.3794,18446752.23
2311,600521.SH,20190430,20190430,1,,,-14224383.5675,
2312,600521.SH,20190430,20190430,1,134900989.06,170012712.99,-289042901.8089,67895840.39
2313,600370.SH,20190430,20190430,1,,,51373609.276,
2314,600370.SH,20190423,20190423,1,72267887.89,,-35760795.5115,42395166.11
2315,600460.SH,20190430,20190430,1,,,,
2316,600460.SH,20190430,20190430,1,,,-266985405.84,
2317,600460.SH,20190330,20190330,1,74256106.45,73311770.63,-942829732.008,240596119.24
2318,600513.SH,20190426,20190426,1,,,-120160219.11,
2319,600513.SH,20190328,20190328,1,74169786.93,4047841.2,5779959.9862,-92000172.3
2320,600039.SH,20190430,20190430,1,,,,
2321,600039.SH,20190430,20190430,1,,,-552339846.732,
2322,600039.SH,20190420,20190420,1,1206906959.92,1660396426.45,1082913508.6098,3232929935.87
2323,600575.SH,20190425,20190425,1,,,-122472783.39,
2324,600575.SH,20190322,20190322,1,569825397.13,237625045.13,898093545.8748,1317218710.43
2325,600375.SH,20190427,20190427,1,,,,
2326,600375.SH,20190427,20190427,1,,,-884779036.53,
2327,600375.SH,20190322,20190322,1,61314978.39,80631347.91,-794293727.6848,-394375287.21
2328,600343.SH,20190427,20190427,1,,,-150046456.2,
2329,600343.SH,20190323,20190323,1,33850006.9,15724646.77,32760006.4409,146072357.07
2330,600502.SH,20190427,20190427,1,,,-2246586744.15,
2331,600502.SH,20190321,20190321,1,819834466.45,831975887.39,811873291.76,-2060324110.55
2332,600481.SH,20190420,20190420,1,,,-199260895.52,
2333,600481.SH,20190330,20190330,1,256190937.78,11150764.68,264906072.592,297797050.83
2334,600004.SH,20190430,20190430,1,,,-1658421090.393,
